dataset,n,k,seed_id,sampling_seed,nodes,edges,density,mean_degree,components,graph_path
digits_scaling,150,5,3,53.0,150,519,0.0464429530201342,6.92,1,scaling_graphs/digits_n150_k5_s3.npz
digits_scaling,150,10,3,53.0,150,1007,0.0901118568232662,13.426666666666666,1,scaling_graphs/digits_n150_k10_s3.npz
digits_scaling,150,20,3,53.0,150,2030,0.18165548098434,27.066666666666663,1,scaling_graphs/digits_n150_k20_s3.npz
digits_scaling,150,5,4,71.0,150,521,0.0466219239373601,6.946666666666666,1,scaling_graphs/digits_n150_k5_s4.npz
digits_scaling,150,10,4,71.0,150,1013,0.090648769574944,13.506666666666666,1,scaling_graphs/digits_n150_k10_s4.npz
digits_scaling,150,20,4,71.0,150,2069,0.185145413870246,27.586666666666662,1,scaling_graphs/digits_n150_k20_s4.npz
digits_scaling,200,5,0,11.0,200,717,0.0360301507537688,7.17,1,scaling_graphs/digits_n200_k5_s0.npz
digits_scaling,200,10,0,11.0,200,1349,0.067788944723618,13.49,1,scaling_graphs/digits_n200_k10_s0.npz
digits_scaling,200,20,0,11.0,200,2689,0.1351256281407035,26.89,1,scaling_graphs/digits_n200_k20_s0.npz
digits_scaling,200,5,1,23.0,200,702,0.0352763819095477,7.02,1,scaling_graphs/digits_n200_k5_s1.npz
digits_scaling,200,10,1,23.0,200,1353,0.0679899497487437,13.53,1,scaling_graphs/digits_n200_k10_s1.npz
digits_scaling,200,20,1,23.0,200,2686,0.1349748743718593,26.86,1,scaling_graphs/digits_n200_k20_s1.npz
digits_scaling,200,5,2,37.0,200,694,0.0348743718592964,6.94,1,scaling_graphs/digits_n200_k5_s2.npz
digits_scaling,200,10,2,37.0,200,1344,0.067537688442211,13.44,1,scaling_graphs/digits_n200_k10_s2.npz
digits_scaling,200,20,2,37.0,200,2658,0.1335678391959799,26.58,1,scaling_graphs/digits_n200_k20_s2.npz
digits_scaling,200,5,3,53.0,200,700,0.0351758793969849,7.0,1,scaling_graphs/digits_n200_k5_s3.npz
digits_scaling,200,10,3,53.0,200,1347,0.0676884422110552,13.47,1,scaling_graphs/digits_n200_k10_s3.npz
digits_scaling,200,20,3,53.0,200,2685,0.1349246231155779,26.85,1,scaling_graphs/digits_n200_k20_s3.npz
digits_scaling,200,5,4,71.0,200,692,0.0347738693467336,6.92,1,scaling_graphs/digits_n200_k5_s4.npz
digits_scaling,200,10,4,71.0,200,1353,0.0679899497487437,13.53,1,scaling_graphs/digits_n200_k10_s4.npz
digits_scaling,200,20,4,71.0,200,2695,0.1354271356783919,26.95,1,scaling_graphs/digits_n200_k20_s4.npz
digits_scaling,250,5,0,11.0,250,897,0.0288192771084337,7.176,1,scaling_graphs/digits_n250_k5_s0.npz
digits_scaling,250,10,0,11.0,250,1712,0.055004016064257,13.696,1,scaling_graphs/digits_n250_k10_s0.npz
digits_scaling,250,20,0,11.0,250,3355,0.1077911646586345,26.84,1,scaling_graphs/digits_n250_k20_s0.npz
digits_scaling,250,5,1,23.0,250,875,0.0281124497991967,7.0,1,scaling_graphs/digits_n250_k5_s1.npz
digits_scaling,250,10,1,23.0,250,1699,0.0545863453815261,13.592,1,scaling_graphs/digits_n250_k10_s1.npz
digits_scaling,250,20,1,23.0,250,3342,0.1073734939759036,26.736,1,scaling_graphs/digits_n250_k20_s1.npz
digits_scaling,250,5,2,37.0,250,878,0.0282088353413654,7.024,1,scaling_graphs/digits_n250_k5_s2.npz
digits_scaling,250,10,2,37.0,250,1694,0.0544257028112449,13.552,1,scaling_graphs/digits_n250_k10_s2.npz
digits_scaling,250,20,2,37.0,250,3326,0.106859437751004,26.608,1,scaling_graphs/digits_n250_k20_s2.npz
digits_scaling,250,5,3,53.0,250,888,0.0285301204819277,7.104,1,scaling_graphs/digits_n250_k5_s3.npz
digits_scaling,250,10,3,53.0,250,1679,0.0539437751004016,13.432,1,scaling_graphs/digits_n250_k10_s3.npz
digits_scaling,250,20,3,53.0,250,3340,0.1073092369477911,26.72,1,scaling_graphs/digits_n250_k20_s3.npz
digits_scaling,250,5,4,71.0,250,863,0.027726907630522,6.904,1,scaling_graphs/digits_n250_k5_s4.npz
digits_scaling,250,10,4,71.0,250,1713,0.0550361445783132,13.704,1,scaling_graphs/digits_n250_k10_s4.npz
digits_scaling,250,20,4,71.0,250,3377,0.1084979919678714,27.016,1,scaling_graphs/digits_n250_k20_s4.npz
digits_scaling,300,5,0,11.0,300,1077,0.0240133779264214,7.18,1,scaling_graphs/digits_n300_k5_s0.npz
digits_scaling,300,10,0,11.0,300,2077,0.0463099219620958,13.846666666666666,1,scaling_graphs/digits_n300_k10_s0.npz
digits_scaling,300,20,0,11.0,300,4066,0.0906577480490524,27.106666666666666,1,scaling_graphs/digits_n300_k20_s0.npz
digits_scaling,300,5,1,23.0,300,1059,0.0236120401337792,7.06,1,scaling_graphs/digits_n300_k5_s1.npz
digits_scaling,300,10,1,23.0,300,2058,0.045886287625418,13.72,1,scaling_graphs/digits_n300_k10_s1.npz
digits_scaling,300,20,1,23.0,300,4013,0.0894760312151616,26.75333333333333,1,scaling_graphs/digits_n300_k20_s1.npz
digits_scaling,300,5,2,37.0,300,1061,0.0236566332218506,7.073333333333333,1,scaling_graphs/digits_n300_k5_s2.npz
digits_scaling,300,10,2,37.0,300,2060,0.0459308807134894,13.733333333333333,1,scaling_graphs/digits_n300_k10_s2.npz
digits_scaling,300,20,2,37.0,300,4032,0.0898996655518394,26.88,1,scaling_graphs/digits_n300_k20_s2.npz
digits_scaling,300,5,3,53.0,300,1076,0.0239910813823857,7.173333333333333,1,scaling_graphs/digits_n300_k5_s3.npz
digits_scaling,300,10,3,53.0,300,2050,0.0457079152731326,13.666666666666666,1,scaling_graphs/digits_n300_k10_s3.npz
digits_scaling,300,20,3,53.0,300,3982,0.0887848383500557,26.546666666666667,1,scaling_graphs/digits_n300_k20_s3.npz
digits_scaling,300,5,4,71.0,300,1058,0.0235897435897435,7.053333333333334,1,scaling_graphs/digits_n300_k5_s4.npz
digits_scaling,300,10,4,71.0,300,2038,0.0454403567447045,13.586666666666666,1,scaling_graphs/digits_n300_k10_s4.npz
digits_scaling,300,20,4,71.0,300,4049,0.0902787068004459,26.99333333333333,1,scaling_graphs/digits_n300_k20_s4.npz
digits_scaling,400,5,0,11.0,400,1436,0.0179949874686716,7.18,1,scaling_graphs/digits_n400_k5_s0.npz
digits_scaling,400,10,0,11.0,400,2775,0.0347744360902255,13.875,1,scaling_graphs/digits_n400_k10_s0.npz
digits_scaling,400,20,0,11.0,400,5390,0.0675438596491228,26.95,1,scaling_graphs/digits_n400_k20_s0.npz
digits_scaling,400,5,1,23.0,400,1401,0.0175563909774436,7.005,1,scaling_graphs/digits_n400_k5_s1.npz
digits_scaling,400,10,1,23.0,400,2731,0.0342230576441102,13.655,1,scaling_graphs/digits_n400_k10_s1.npz
digits_scaling,400,20,1,23.0,400,5399,0.06765664160401,26.995,1,scaling_graphs/digits_n400_k20_s1.npz
digits_scaling,400,5,2,37.0,400,1422,0.0178195488721804,7.11,1,scaling_graphs/digits_n400_k5_s2.npz
digits_scaling,400,10,2,37.0,400,2761,0.0345989974937343,13.805,1,scaling_graphs/digits_n400_k10_s2.npz
digits_scaling,400,20,2,37.0,400,5425,0.0679824561403508,27.125,1,scaling_graphs/digits_n400_k20_s2.npz
digits_scaling,400,5,3,53.0,400,1435,0.0179824561403508,7.175,1,scaling_graphs/digits_n400_k5_s3.npz
digits_scaling,400,10,3,53.0,400,2794,0.0350125313283208,13.97,1,scaling_graphs/digits_n400_k10_s3.npz
digits_scaling,400,20,3,53.0,400,5358,0.0671428571428571,26.79,1,scaling_graphs/digits_n400_k20_s3.npz
digits_scaling,400,5,4,71.0,400,1410,0.0176691729323308,7.05,1,scaling_graphs/digits_n400_k5_s4.npz
digits_scaling,400,10,4,71.0,400,2750,0.0344611528822055,13.75,1,scaling_graphs/digits_n400_k10_s4.npz
digits_scaling,400,20,4,71.0,400,5419,0.067907268170426,27.095,1,scaling_graphs/digits_n400_k20_s4.npz
digits_scaling,500,5,0,11.0,500,1793,0.0143727454909819,7.172,1,scaling_graphs/digits_n500_k5_s0.npz
digits_scaling,500,10,0,11.0,500,3498,0.0280400801603206,13.992,1,scaling_graphs/digits_n500_k10_s0.npz
digits_scaling,500,20,0,11.0,500,6786,0.0543967935871743,27.144,1,scaling_graphs/digits_n500_k20_s0.npz
digits_scaling,500,5,1,23.0,500,1764,0.0141402805611222,7.056,1,scaling_graphs/digits_n500_k5_s1.npz
digits_scaling,500,10,1,23.0,500,3465,0.0277755511022044,13.86,1,scaling_graphs/digits_n500_k10_s1.npz
digits_scaling,500,20,1,23.0,500,6771,0.0542765531062124,27.084,1,scaling_graphs/digits_n500_k20_s1.npz
digits_scaling,500,5,2,37.0,500,1787,0.0143246492985971,7.148,1,scaling_graphs/digits_n500_k5_s2.npz
digits_scaling,500,10,2,37.0,500,3463,0.0277595190380761,13.852,1,scaling_graphs/digits_n500_k10_s2.npz
digits_scaling,500,20,2,37.0,500,6791,0.0544368737474949,27.164,1,scaling_graphs/digits_n500_k20_s2.npz
digits_scaling,500,5,3,53.0,500,1796,0.0143967935871743,7.184,1,scaling_graphs/digits_n500_k5_s3.npz
digits_scaling,500,10,3,53.0,500,3489,0.0279679358717434,13.956,1,scaling_graphs/digits_n500_k10_s3.npz
digits_scaling,500,20,3,53.0,500,6747,0.0540841683366733,26.988,1,scaling_graphs/digits_n500_k20_s3.npz
digits_scaling,500,5,4,71.0,500,1785,0.0143086172344689,7.14,1,scaling_graphs/digits_n500_k5_s4.npz
digits_scaling,500,10,4,71.0,500,3465,0.0277755511022044,13.86,1,scaling_graphs/digits_n500_k10_s4.npz
digits_scaling,500,20,4,71.0,500,6785,0.0543887775551102,27.14,1,scaling_graphs/digits_n500_k20_s4.npz
digits_scaling,750,5,0,11.0,750,2690,0.0095772140631953,7.173333333333333,1,scaling_graphs/digits_n750_k5_s0.npz
digits_scaling,750,10,0,11.0,750,5246,0.0186773475745438,13.989333333333333,1,scaling_graphs/digits_n750_k10_s0.npz
digits_scaling,750,20,0,11.0,750,10200,0.0363150867823765,27.2,1,scaling_graphs/digits_n750_k20_s0.npz
digits_scaling,750,5,1,23.0,750,2659,0.0094668446817979,7.0906666666666665,1,scaling_graphs/digits_n750_k5_s1.npz
digits_scaling,750,10,1,23.0,750,5271,0.0187663551401869,14.056,1,scaling_graphs/digits_n750_k10_s1.npz
digits_scaling,750,20,1,23.0,750,10312,0.0367138406764575,27.498666666666665,1,scaling_graphs/digits_n750_k20_s1.npz
digits_scaling,750,5,2,37.0,750,2668,0.0094988874054294,7.1146666666666665,1,scaling_graphs/digits_n750_k5_s2.npz
digits_scaling,750,10,2,37.0,750,5214,0.0185634178905206,13.904,1,scaling_graphs/digits_n750_k10_s2.npz
digits_scaling,750,20,2,37.0,750,10307,0.0366960391633288,27.485333333333333,1,scaling_graphs/digits_n750_k20_s2.npz
digits_scaling,750,5,3,53.0,750,2682,0.0095487316421895,7.152,1,scaling_graphs/digits_n750_k5_s3.npz
digits_scaling,750,10,3,53.0,750,5274,0.018777036048064,14.064,1,scaling_graphs/digits_n750_k10_s3.npz
digits_scaling,750,20,3,53.0,750,10283,0.0366105919003115,27.421333333333333,1,scaling_graphs/digits_n750_k20_s3.npz
digits_scaling,750,5,4,71.0,750,2663,0.0094810858923008,7.101333333333334,1,scaling_graphs/digits_n750_k5_s4.npz
digits_scaling,750,10,4,71.0,750,5226,0.0186061415220293,13.936,1,scaling_graphs/digits_n750_k10_s4.npz
digits_scaling,750,20,4,71.0,750,10239,0.0364539385847797,27.304,1,scaling_graphs/digits_n750_k20_s4.npz
digits_scaling,1000,5,0,11.0,1000,3564,0.0071351351351351,7.128,1,scaling_graphs/digits_n1000_k5_s0.npz
digits_scaling,1000,10,0,11.0,1000,6989,0.0139919919919919,13.978,1,scaling_graphs/digits_n1000_k10_s0.npz
digits_scaling,1000,20,0,11.0,1000,13709,0.0274454454454454,27.418,1,scaling_graphs/digits_n1000_k20_s0.npz
digits_scaling,1000,5,1,23.0,1000,3543,0.007093093093093,7.086,1,scaling_graphs/digits_n1000_k5_s1.npz
digits_scaling,1000,10,1,23.0,1000,7010,0.014034034034034,14.02,1,scaling_graphs/digits_n1000_k10_s1.npz
digits_scaling,1000,20,1,23.0,1000,13782,0.0275915915915915,27.564,1,scaling_graphs/digits_n1000_k20_s1.npz
digits_scaling,1000,5,2,37.0,1000,3534,0.007075075075075,7.068,1,scaling_graphs/digits_n1000_k5_s2.npz
digits_scaling,1000,10,2,37.0,1000,6974,0.0139619619619619,13.948,1,scaling_graphs/digits_n1000_k10_s2.npz
digits_scaling,1000,20,2,37.0,1000,13762,0.0275515515515515,27.524,1,scaling_graphs/digits_n1000_k20_s2.npz
digits_scaling,1000,5,3,53.0,1000,3591,0.0071891891891891,7.182,1,scaling_graphs/digits_n1000_k5_s3.npz
digits_scaling,1000,10,3,53.0,1000,7093,0.0142002002002002,14.186,1,scaling_graphs/digits_n1000_k10_s3.npz
digits_scaling,1000,20,3,53.0,1000,13895,0.0278178178178178,27.79,1,scaling_graphs/digits_n1000_k20_s3.npz
digits_scaling,1000,5,4,71.0,1000,3582,0.0071711711711711,7.164,1,scaling_graphs/digits_n1000_k5_s4.npz
digits_scaling,1000,10,4,71.0,1000,7021,0.014056056056056,14.042,1,scaling_graphs/digits_n1000_k10_s4.npz
digits_scaling,1000,20,4,71.0,1000,13777,0.0275815815815815,27.554,1,scaling_graphs/digits_n1000_k20_s4.npz
digits_scaling,1250,5,0,11.0,1250,4440,0.0056877502001601,7.104,1,scaling_graphs/digits_n1250_k5_s0.npz
digits_scaling,1250,10,0,11.0,1250,8761,0.0112230584467574,14.0176,1,scaling_graphs/digits_n1250_k10_s0.npz
digits_scaling,1250,20,0,11.0,1250,17185,0.0220144115292233,27.496,1,scaling_graphs/digits_n1250_k20_s0.npz
digits_scaling,1250,5,1,23.0,1250,4448,0.0056979983987189,7.1168,1,scaling_graphs/digits_n1250_k5_s1.npz
digits_scaling,1250,10,1,23.0,1250,8774,0.0112397117694155,14.0384,1,scaling_graphs/digits_n1250_k10_s1.npz
digits_scaling,1250,20,1,23.0,1250,17342,0.0222155324259407,27.7472,1,scaling_graphs/digits_n1250_k20_s1.npz
digits_scaling,1250,5,2,37.0,1250,4440,0.0056877502001601,7.104,1,scaling_graphs/digits_n1250_k5_s2.npz
digits_scaling,1250,10,2,37.0,1250,8736,0.011191032826261,13.9776,1,scaling_graphs/digits_n1250_k10_s2.npz
digits_scaling,1250,20,2,37.0,1250,17221,0.0220605284227381,27.5536,1,scaling_graphs/digits_n1250_k20_s2.npz
digits_scaling,1250,5,3,53.0,1250,4469,0.0057248999199359,7.1504,1,scaling_graphs/digits_n1250_k5_s3.npz
digits_scaling,1250,10,3,53.0,1250,8808,0.0112832666132906,14.0928,1,scaling_graphs/digits_n1250_k10_s3.npz
digits_scaling,1250,20,3,53.0,1250,17332,0.0222027221777421,27.7312,1,scaling_graphs/digits_n1250_k20_s3.npz
digits_scaling,1250,5,4,71.0,1250,4482,0.005741553242594,7.1712,1,scaling_graphs/digits_n1250_k5_s4.npz
digits_scaling,1250,10,4,71.0,1250,8842,0.0113268214571657,14.1472,1,scaling_graphs/digits_n1250_k10_s4.npz
digits_scaling,1250,20,4,71.0,1250,17281,0.0221373899119295,27.6496,1,scaling_graphs/digits_n1250_k20_s4.npz
digits_scaling,1500,5,0,11.0,1500,5345,0.0047542806315321,7.126666666666667,1,scaling_graphs/digits_n1500_k5_s0.npz
digits_scaling,1500,10,0,11.0,1500,10514,0.0093520124527462,14.018666666666666,1,scaling_graphs/digits_n1500_k10_s0.npz
digits_scaling,1500,20,0,11.0,1500,20691,0.0184042695130086,27.588,1,scaling_graphs/digits_n1500_k20_s0.npz
digits_scaling,1500,5,1,23.0,1500,5356,0.004764064932177,7.141333333333334,1,scaling_graphs/digits_n1500_k5_s1.npz
digits_scaling,1500,10,1,23.0,1500,10536,0.009371581054036,14.048,1,scaling_graphs/digits_n1500_k10_s1.npz
digits_scaling,1500,20,1,23.0,1500,20795,0.0184967756281965,27.726666666666667,1,scaling_graphs/digits_n1500_k20_s1.npz
digits_scaling,1500,5,2,37.0,1500,5335,0.004745385812764,7.113333333333333,1,scaling_graphs/digits_n1500_k5_s2.npz
digits_scaling,1500,10,2,37.0,1500,10510,0.009348454525239,14.013333333333334,1,scaling_graphs/digits_n1500_k10_s2.npz
digits_scaling,1500,20,2,37.0,1500,20727,0.0184362908605737,27.636,1,scaling_graphs/digits_n1500_k20_s2.npz
digits_scaling,1500,5,3,53.0,1500,5361,0.004768512341561,7.148,1,scaling_graphs/digits_n1500_k5_s3.npz
digits_scaling,1500,10,3,53.0,1500,10522,0.0093591283077607,14.029333333333334,1,scaling_graphs/digits_n1500_k10_s3.npz
digits_scaling,1500,20,3,53.0,1500,20801,0.0185021125194574,27.734666666666666,1,scaling_graphs/digits_n1500_k20_s3.npz
digits_scaling,1500,5,4,71.0,1500,5357,0.0047649544140538,7.142666666666667,1,scaling_graphs/digits_n1500_k5_s4.npz
digits_scaling,1500,10,4,71.0,1500,10557,0.0093902601734489,14.076,1,scaling_graphs/digits_n1500_k10_s4.npz
digits_scaling,1500,20,4,71.0,1500,20774,0.0184780965087836,27.698666666666668,1,scaling_graphs/digits_n1500_k20_s4.npz
digits_scaling,1797,5,0,,1797,6427,0.0039827577018366,7.153032832498609,1,scaling_graphs/digits_n1797_k5_s0.npz
digits_scaling,1797,10,0,,1797,12618,0.0078192681938345,14.04340567612688,1,scaling_graphs/digits_n1797_k10_s0.npz
digits_scaling,1797,20,0,,1797,24927,0.0154470516934311,27.742904841402336,1,scaling_graphs/digits_n1797_k20_s0.npz
